Sort Date,Highest Profile,Release Date,Title,EleutherAI PoC,Lead Org,Primary Area,Additional Area,Status,Conference or Journal,Archival Date,Workshop,Workshop Date,Superlatives,Link,On website,
"Jul 27, 2025",,"Mar 7, 2025",On the Acquisition of Shared Grammatical Representations in Bilingual Language Models,Catherine Arnett,UCSD,NLP,NLP,Accepted,ACL,"Jul 27, 2025",,,,https://arxiv.org/abs/2503.03962,yes,
"Sep 21, 2025",,"Jun 30, 2025",Scaling Self-Supervised Representation Learning for Symbolic Piano Performance,Louis Bradshaw,Queen Mary University of London and EleutherAI,Other Modalities,Other Modalities,Accepted,ISMIR,"Sep 21, 2025",,,,,yes,
"Sep 27, 2025",,"Jan 27, 2025",Open Problems in Mechanistic Interpretability,Stella Biderman,Apollo Research,Interpretability,Interpretability,Accepted,TMLR,"Sep 27, 2025",,,,https://arxiv.org/abs/2501.16496,yes,
"Oct 7, 2025",,"May 5, 2025",RADLADS: Rapid Attention Distillation to Linear Attention Decoders at Scale,Daniel Goldstein,Recursal AI,NLP,NLP,Accepted,COLM,"Oct 7, 2025",,,,https://arxiv.org/abs/2505.03005,yes,
"Oct 7, 2025",,"Mar 18, 2025","RWKV-7 ""Goose"" with Expressive Dynamic State Evolution",Daniel Goldstein,LF AI & Data and EleutherAI,NLP,NLP,Accepted,COLM,"Oct 7, 2025",,,,https://arxiv.org/abs/2503.14456,yes,
"Nov 6, 2025",,"Nov 6, 2025",Who Measures What Matters? An Analysis of Social Impact Evaluations in Foundation Model Reporting,Jenn Mickel,EvalEval Coalition,Ethics and Policy,NLP,Rejected,ICLR,,,,,https://arxiv.org/abs/2511.05613,no (couldnt find online),
"Nov 25, 2025",,"Nov 25, 2025",Video Deepfake Abuse: How Company Choices Predictably Shape Misuse Patterns,Stella Biderman,MIT,Ethics and Policy,Other Modalities,Ready to Submit,,,,,,https://arxiv.org/abs/2512.11815,,
"Dec 2, 2025",,"Nov 3, 2025",The Ghost in the Keys: A Disklavier Demo for Human-AI Musical Co-Creativity,Louis Bradshaw,Queen Mary University of London and EleutherAI,Other Modalities,Other Modalities,Accepted,AI4Music @ NeurIPS,"Dec 2, 2025",,,,https://arxiv.org/abs/2511.01663,no (couldnt find online),
"Dec 2, 2025",,"Oct 16, 2025",Explaining and Mitigating Cross-Linguistic Tokenizer Inequalities,Catherine Arnett,EleutherAI,NLP,NLP,Accepted,NeurIPS,"Dec 2, 2025",,,,https://arxiv.org/pdf/2406.16829,yes,
"Dec 2, 2025",,"Oct 31, 2025","More of the Same: Persistent Representational Harms
Under Increased Representation",Jenn Mickel,EleutherAI,Ethics and Policy,NLP,Accepted,NeurIPS,"Dec 2, 2025",,,,https://arxiv.org/abs/2503.00333,yes,
"Dec 2, 2025",Yes,"Jun 5, 2025",The Common Pile v0.1: An 8TB Dataset of Public Domain and Openly Licensed Text,Stella Biderman,University of Toronto and EleutherAI,NLP,Ethics and Policy,Accepted,NeurIPS Datasets and Benchmarks,"Dec 2, 2025",,,,https://arxiv.org/abs/2506.05209,yes,
"Dec 2, 2025",,,Token Entanglement in Subliminal Learning,Lucia Quirke,Bau Lab,Interpretability,Alignment,Accepted,,,Mech Interp Workshop @ NeurIPS,"Dec 2, 2025",,https://openreview.net/forum?id=auKgpBRzIW&referrer=%5BAuthor%20Console%5D(%2Fgroup%3Fid%3DNeurIPS.cc%2F2025%2FWorkshop%2FMechInterp%2FAuthors%23your-submissions),yes,
"Dec 6, 2025",,"Oct 28, 2025",Benchmark Disaggregation Improves Interpretability of Training Dynamics,Catherine Arnett,MIT,NLP,Interpretability,Accepted,CogInterp Workshop @ NeurIPS,"Dec 6, 2025",CogInterp Workshop @ NeurIPS,"Dec 6, 2025",,https://arxiv.org/abs/2510.24934,,
"Dec 7, 2025",,,Mitigating Emergent Misalignment with Data Attribution,Gonçalo Paulo,EleutherAI,Alignment,NLP,Work-in-Progress,,,Mech Interp Workshop @ NeurIPS,"Dec 7, 2025",,https://openreview.net/forum?id=gN7pWmjiQW&referrer=%5Bthe%20profile%20of%20Gon%C3%A7alo%20Paulo%5D(%2Fprofile%3Fid%3D~Gon%C3%A7alo_Paulo1),yes,
"Jan 7, 2026",,"Jan 7, 2026","The Toxicology of Data: A Dose-Response Framework for Test Set Contamination, Data Poisoning, Finetuning Attacks and Memorization",Stella Biderman,Stanford,NLP,Security,Rejected,ICLR,,,,,https://arxiv.org/abs/2601.04301,,
"Feb 6, 2026",,"Feb 6, 2026",Quantifying the Effect of Test Set Contamination on Generative Evaluations,Stella Biderman,Stanford,NLP,NLP,Under Review,NeurIPS,,,,,https://arxiv.org/abs/2601.04301,,
"Feb 16, 2026",,"Feb 16, 2026","Concept Influence: Leveraging Interpretability to Improve
Performance and Efficiency in Training Data Attribution","Gonçalo Paulo, Louis",FAR.AI,Interpretability,Alignment,Ready to Submit,,,,,,https://arxiv.org/abs/2602.14869,,
"Mar 27, 2026",Yes,"Mar 27, 2026",How Open Must Language Models be to Enable Reliable Scientific Inference?,Catherine Arnett,MIT,NLP,Ethics and Policy,Under Review,NeurIPS Datasets and Benchmarks,,,,,https://arxiv.org/abs/2603.26539,no (couldn't find in catherine's gscholar),
"Apr 23, 2026",Yes,"Aug 25, 2025",Deep Ignorance: Filtering Pretraining Data Builds Tamper-Resistant Safeguards into Open-Weight LLMs,Kyle O'Brien,EleutherAI and AISI,Alignment,NLP,Accepted,ICLR,"Apr 23, 2026","BioSafe Workshop @ NeurIPS, best paper runner-up","Dec 6, 2025",Workshop Best Paper Runner-up,https://arxiv.org/abs/2508.06601,yes,
"Apr 23, 2026",,"May 19, 2025",Evaluating SAE interpretability without explanations,Gonçalo Paulo,EleutherAI,Interpretability,NLP,Accepted,ICLR,"Apr 23, 2026",Mech Interp Workshop @ NeurIPS,"Dec 7, 2025",,https://arxiv.org/abs/2507.08473,yes,
"Apr 23, 2026",,"Jan 29, 2025",Sparse Autoencoders Trained on the Same Data Learn Different Features,Gonçalo Paulo,EleutherAI,Interpretability,NLP,Accepted,ICLR,"Apr 23, 2026",Mech Interp Workshop @ NeurIPS,"Dec 7, 2025",,https://arxiv.org/abs/2501.16615,yes,
"Jul 2, 2026",,"Jan 25, 2026",CommonLID: Re-evaluating State-of-the-Art Language Identification Performance on Web Data,Catherine Arnett,Common Crawl ,NLP,NLP,Accepted,ACL,"Jul 2, 2026",,"Jul 2, 2026",,https://arxiv.org/abs/2601.18026,,
"Jul 2, 2026",,"Mar 27, 2026",Weight Tying Biases Token Embeddings Towards the Output Space,Catherine Arnett,EleutherAI,NLP,NLP,Accepted,ACL Findings,"Jul 2, 2026",,,,https://arxiv.org/abs/2603.26663,,
